county,company,city,address,postcode,phone,email,website,source
Vastra Gotalands Lan,Mariestads Bildemontering och Återvinningsteknik AB,Mariestad,Förrådsgatan 29,542 35,0501-19250,info@mariestadsbildemo.se,http://bildemonteringenimariestad.fbt.se/,SBR
Vastra Gotalands Lan,Eklunds Bildelslager i Skövde AB,Skövde,Larsgården Våmb,541 33,0500-41 38 45,info@eklunds.se,https://eklunds.nu/,SBR
Vastra Gotalands Lan,Bildelslagret i Trollhättan AB,Trollhättan,Grafitvägen 4,461 38,0520-472625,info@bildelslagret-trollhattan.se,https://www.bildelslagret-trollhattan.se/Default.aspx,SBR
Vastra Gotalands Lan,Bildelslagret i Lidköping AB,Lidköping,Gösslunda Led 2,531 98,0510-170 66,info.lkp@bildelslager.se,http://www.bildelslagret-lidkoping.se/,SBR
Vastra Gotalands Lan,Bilåtervinning i Trollhättan AB,Trollhättan,Grafitvägen 6,461 38,0520-484 860,adm@bilatervinning.se,http://www.bilatervinning.se/,SBR
Dalarnas Lan,Demia AB,Ludvika,Bilvägen,771 42,0240-878 50,info.demia@gsbil.se,http://www.demia.se/,SBR
Dalarnas Lan,Bilskrotcentralen HB,Falun,Skyfallsvägen 9,791 77,023-123 81,bilskrotcentralen@telia.com,http://bilskrotcentralen.se/,SBR
Dalarnas Lan,Atracco AB,Hedemora,Kranvägen 7,776 33,0225-595 540,dpo@atracco.se,http://www.atracco.se/,SBR
Dalarnas Lan,Falu Bildemontering AB,Falun,Västermalmsvägen 20,791 77,023-255 30,falun@falubildemo.se,https://falubildemo.se/,SBR
Dalarnas Lan,Amsbergs Bilaffär & Bildemontering AB,Borlänge,Norr Amsberg 655,781 90,0243 – 23 10 45,info@amsbergsbildemontering.se,https://www.amsbergsbildemontering.se/,SBR
Skane Lan,DIN Bildemontering I Örkelljunga AB,Skånes Fagerhult,Ringvägen 1,286 73,0433-30007,Info@dinbilskrot.se,https://www.dinbilskrot.se/,SBR
Skane Lan,Svedala Bildemontering AB,Svedala,Svetsaregatan 3,23323,040-402540,info@bilskroten.nu,http://www.bilskroten.nu/,SBR
Skane Lan,USA-Bildelar i Osby AB,Osby,Route 66,283 91,0479-15540,usa@bildelarosby.se,http://www.bildelarosby.se/,SBR
Skane Lan,Märkesdemo Helsingborg,Helsingborg,Lagergatan 24,254 64,042 - 15 88 40,info@mdhelsingborg.se,http://mdhelsingborg.se/,SBR
Skane Lan,Sten Norbergs Bil AB,Bjärnum,Mala 3306,282 65,0451-172 46,info@norbergs.se,http://www.norbergs.se/,SBR
Skane Lan,Malmö Bilskrot AB,Malmö,Stenåldersgatan 10,213 76,040-494 290,info@malmobilskrot.se,,SBR
Skane Lan,Hurva Bildemontering AB,Hurva,Mejerivägen 10,241 94,0413-310 01,bildemo1@outlook.com,https://www.hurvabildemontering.se/,SBR
Skane Lan,Granaths Bilskrot AB,Flyinge,Plantskolevägen 45,247 97,046-523 75,jorgen@granath.se,http://www.granaths.se/,SBR
Skane Lan,Ekonex HB,Hässleholm,Belevägen 6,281 43,0451-84757,ekonex@telia.com,http://ekonex.se/kontakta_oss.html,SBR
Skane Lan,Billeberga Bildemontering AB,Billeberga,Fabriksvägen 8,268 73,0418-660 924,info@billebergabildemontering.se,https://billebergabildemontering.se/,SBR
Skane Lan,Autodemontering TT AB,Sjöbo,Ommavägen 9,275 33,0416-511 370,info@autodemontering.se,http://www.autodemontering.se/,SBR
Skane Lan,Aktiebolaget Magnus Bildemontering,Trelleborg,Omvägen 27,231 62,0410-440 22,info@magnusbildemontering.se,https://www.magnusbildemontering.se/,SBR
Skane Lan,Aktiebolaget Harrys Bilskrot,Malmö,Arlövsvägen 5,211 24,040-38 22 00,info@harrysbilskrot.se,https://www.harrysbilskrot.se/,SBR
Skane Lan,AB Svenssons Bildemontering,Kristianstad,Mosslundavägen 64-44,291 91,"044-244 117, 040-97 80 70",info@svenssonsbildem.se,https://svenssonsbildemontering.se/,SBR
Hallands Lan,Walters Bildelar AB,Falkenberg,Skogstorps 402,311 91,0346-714 580,info@waltersbil.se,https://www.waltersbildelar.com/,SBR
Hallands Lan,Hedin Recycled Halmstad AB,Getinge,Teknikvägen 58,305 75,035-10 32 32,info@hedinrecycled.com,http://www.onwheelsbildemontering.se/,SBR
Hallands Lan,Munkagård Bilskrot AB,Tvååker,Trävägen 7,432 78,0768-795 022,info@munkagardbil.se,https://munkagardbil.se/,SBR
Hallands Lan,DT Liljas Bildemontering AB,Rydöbruk,Ryvägen 4,314 42,0345-21144,info@liljasbildemontering.se,http://www.liljasbildemontering.se/,SBR
Hallands Lan,Bendt Bil AB,Halmstad,Kristinehedsvägen 13,302 44,035-104050,info@bendtbil.se,https://www.bendtbil.se/,SBR
Norrbottens Lan,RK:s Bilservice & Bildemontering HB,Kalix,Rudträskvägen 6,952 41,0923-163 62,info@rksbilservice.se,http://www.rksbilservice.se/,SBR
Norrbottens Lan,Norrbottens Bildemontering AB,Storsund,Storsundsvägen 1,942 04,0929-70 000,info@nbd.se,https://www.nbd.se/,SBR
Norrbottens Lan,Fyrkantens Bildemontering AB,Luleå,Gårdsvägen 18,973 47,0920-15404,info@fyrkantensbildemontering.com,http://www.fyrkantensbildemontering.com/,SBR
Blekinge Lan,Mixi Bilskrot KB,Sölvesborg,Norremarksvägen 66-24,294 92,0456-543 71,info@mixi.se,https://www.mixi.se/,SBR
Blekinge Lan,Gäresta Bildelar AB,Ronneby,Gärestads Bygata 5,372 97,"0457-360 33, 0457-361 40",garesta@telia.com,https://www.garesta.se/,SBR
Kalmar Lan,Nybro Bildemontering AB,Nybro,Joelsgatan 23,382 34,073-076 94 09,info@nybrobildemontering.se,,SBR
Kalmar Lan,Vimmerby Bildemontering AB,Södra Vi,Källenäs 110,598 72,0492-200 28,info@vimmerbybildemontering.se,http://www.vimmerbybildemontering.se/,SBR
Kalmar Lan,Märkesdemo Mönsterås / Atracco AB,Mönsterås,Västra Oknebäcksvägen 7,383 36,0499-49 000,info@mdmonsteras.se,,SBR
Kalmar Lan,Begagnade Bildelar AB Jan Solstad,Västervik,Målserum,593 95,0490-182 89,info@begagnadebildelar.se,https://www.begagnadebildelar.se/,SBR
Stockholms Lan,Nordiska Auto Motor AB,Södertälje,Viksängsvägen 11,152 57,08-201 231 / 070 017 55 15,info@nordiskaautomotor.se,https://www.nordiskaautomotor.se/,SBR
Stockholms Lan,Södertälje Bil & Alldemo AB,Södertälje,Skarlunda gård,152 97,08-550 96 165,info@skaralund.se,http://www.skarlunda.se/,SBR
Stockholms Lan,Malsta Bildemontering AB,Norrtälje,Malstavägen 268,761 71,0176-226 225,mats@malstabildemo.se,http://www.malstabildemo.com/,SBR
Stockholms Lan,Bromma & Botkyrka Bilskrot AB,Vallentuna,Okvistavägen 11,186 40,08-986 655,info@bilskrotarna.se,http://www.bilskrotarna.se/,SBR
Stockholms Lan,Bilskrotarna i Stockholm AB,Spånga,Finspångsgatan 1,163 50,08-98 66 55,info@bilskrotarna.se,https://bilskrotarna.se/,SBR
Stockholms Lan,Atracco AB,Huddinge,Gamla Tullingevägen 6,141 44,08-711 26 40,stockholm@atracco.se,http://www.atracco.se/,SBR
Stockholms Lan,Allbildelar Försäljning i Huddinge AB,Huddinge,Hökärrsvägen 125,141 91,010-4974200,allbildelar@allbildelar.se,https://www.allbildelar.se/,SBR
Gavleborgs Lan,Välsta Bildemontering AB,Hudiksvall,Välsta 110,824 94,0650-743 200,info@vbd.nu,http://www.valstabildemontering.com/,SBR
Gavleborgs Lan,Häggs Bildemontering AB,Ilsbo,Vattlång 259,829 91,0652-56 50 00,info@haggs.se,https://haggsbildem.se/,SBR
Gavleborgs Lan,Bollnäs Bilåtervinning,Bollnäs,Norrbo Hammarsvägen 4903,821 93,0278-39090,info@bollnasbilatervinning.se,http://www.bollnasbilatervinning.se/,SBR
Jamtlands Lan,Jämtlands Bildemontering AB,Östersund,Trådvägen 11,831 52,063-13 82 00,info@jbdbildelar.se,https://jbdbildelar.se,SBR
Varmlands Lan,Rackstad Bil & Delar AB,Arvika,Rackstad,671 92,0570-332 40,reservdelar@rackstad.com,https://www.rackstad.com/,SBR
Varmlands Lan,Munkfors Bil Aktiebolag,Munkfors,Trollkullevägen 3,684 92,0563-52020,munkfors.bil.ab@telia.com,https://munkforsbil.se/,SBR
Varmlands Lan,Kristinehamns Bildemontering & Bilservice AB,Kristinehamn,Vegagatan 3,681 42,0550-411 138,jasmin.kamber@gmail.com,http://www.kbbab.se/,SBR
Varmlands Lan,Frykmalm i Karlstad AB,Karlstad,Hedjämnan 3,654 60,054-856 420,info@frykmalm.se,http://www.frykmalm.se/,SBR
Ostergotlands Lan,Norrköpings Bilskrot AB,Norrköping,Fjärilsgatan 17,603 61,076-184 03 30,info@norrkopingsbilskrot.se,http://info@norrkopingsbilskrot.se,SBR
Ostergotlands Lan,Bildelsåtervinning Ydre AB,Ydre,Basarp Industrivägen 1,57395,0722700227,bildelsatervinning@gmail.com,,SBR
Ostergotlands Lan,James Bildemontering AB,Norrköping,Alholmsgatan 3,602 38,011-166058,info@sbilskrot.se,http://www.sbilskrot.se/,SBR
Ostergotlands Lan,Östgöta Bildemontering AB,Linköping,Rönögatan 14,582 78,013-13 60 88,info@ostgotabildemontering.se,https://www.ostgotabildemontering.se/,SBR
Ostergotlands Lan,Märkesdemo Linköping / Atracco AB Linköping,Linköping,Hägerhällsvägen 61,582 72,013-397 024,info@hards.se,https://www.mdlinkoping.se/,SBR
Ostergotlands Lan,Karstorps Bildemontering AB,Norrköping,Björkebergavägen,605 95,011-495 40 00,info@karstorpsbildemontering.se,http://www.karstorpsbildemontering.se/,SBR
Ostergotlands Lan,Boets Bildemontering AB,Ödeshög,Boet Sågen,599 92,0144-200 40,info@boetsbildemontering.se,http://boetsbildemontering.se/,SBR
Ostergotlands Lan,Begagnade Bildelar i Linköping AB,Linköping,Ensbovägen 5,582 54,013-100 110,linkoping@begbildelar.com,https://www.begbildelar.com/,SBR
Ostergotlands Lan,Atracco Valla,Valla,Åsen,641 62,0150-660 160,info@vallabildemontering.se,https://lkqatracco.com/se/anlaggningar/lkq-atracco-valla/,SBR
Vasterbottens Lan,Västerbottens Bildemontering AB,Umeå,Spårvägen 24,901 31,090-771 756,info@vasterbottensbildemontering.se,https://www.vasterbottensbildemontering.se/,SBR
Vasterbottens Lan,Lycksele Bildemontering AB,Lycksele,Karossvägen 4,921 45,0950-121 40,forsaljningen@lyxdemo.se,http://www.lyckselebildemontering.se/,SBR
Vasterbottens Lan,Skellefteå Bildemontering AB,Skellefteå,Innervik 17,931 91,0910-861 22,info@skellefteabildemontering.se,https://skellefteabildemontering.se/,SBR
Kronobergs Lan,Hovmantorps Bildemontering,Hovmantorp,Magasinsgatan 6,360 51,0478-416 71,,,SBR
Kronobergs Lan,Glasrikets Bildemontering AB,Nybro,Järnvägsgatan 51,382 33,0481-171 71,info@glasriketsbildemontering.se,,SBR
Kronobergs Lan,Växjö Bildemontering AB,Växjö,Sänneholmsvägen 6,352 70,0470-709 650,info@vaxjobildemo.se,https://vaxjobildemo.se/,SBR
Kronobergs Lan,JBM Recycling AB,Kronoberg,Kungsgatan 60,341 31,0372-360 200,info@jbmrecycling.se,http://www.jbmrecycling.se/,SBR
Kronobergs Lan,Atracco AB,Växjö,Ljungadalsgatan 6,352 46,0470-771 120,vaxjo@atracco.se,http://www.atracco.se/,SBR
Kronobergs Lan,AB Tegnaby Bildemontering,Åryd,Klackevägen 4,360 43,0470-774 378,tbd@vaxjo.mail.telia.com,http://www.tegnabybildemontering.se/,SBR
Uppsala Lan,Upplands Bildemo AB,Uppsala,Möllersvärdsgatan 8,754 50,018-169 200,info@bildemo.com,http://www.bildemo.com/,SBR
Uppsala Lan,MERCA SKROTEN i Sverige AB,Enköping,Magasinsgatan 2,749 35,08-583 583 75,mercaskroten@telia.com,https://www.mercaskroten.se/,SBR
Uppsala Lan,Björklinge Bildemontering AB,Björklinge,Närlinge 6,743 71,018-375 080,info@bbbab.se,http://www.bbbab.se/,SBR
Uppsala Lan,AAA Bildemontering i Skutskär AB,Skutskär,Myrhagsgatan 10,814 40,026-79 100,info@gavlebildemo.se,http://gavlebildemo.se/,SBR
Gotlands Lan,Bro Bilskrot AB,Visby,Bro Ekes 200,621 73,0498-272 722,brobilskrotab@outlook.com,http://www.brobilskrot.se/,SBR
Orebro Lan,Arboga Bilskrot AB,Arboga,Kallstensgården 416,732 49,0589-124 40,info@arbogabilskrot.se,,SBR
Orebro Lan,Svensk Bilåtervinning AB,Odensbacken,Industrivägen 8,715 31,019-450 690,info@svenskbilatervinning.se,http://www.svenskbilatervinning.se/,SBR
Orebro Lan,Örebro Bildemontering AB,Örebro,Maskingatan 1,702 86,019-670 12 00,info@mdorebro.se,https://www.orebrobildemo.se/,SBR
Orebro Lan,Ekholms Bildemontering AB,Kumla,Ljungströmsvägen 11,692 75,019-57 70 88,info@ekholmsbildemo.se,https://ekholmsbildemo.se/,SBR
Orebro Lan,Nya Högåsens Bildemontering AB,Karlskoga,Högåsen 275,691 93,0586-72 72 55,nyahogasen@live.com,,SBR
Orebro Lan,Bjuhrs Bil AB,Karlskoga,Silovägen 3,691 42,0586-310 31,info@bjuhrsbilab.se,https://www.bjuhrsbilab.se/,SBR
Vastmanlands Lan,Köpings Bildemontering AB,Köping,Industrivägen 1,731 36,0221-17933,info@kopingsbildemontering.se,http://www.http://www.kopingsbildemontering.se/,SBR
Vastmanlands Lan,Kungsåra Bildemontering AB,Västerås,Karleby 16,725 98,021-471 11 00,info@kungsarabildemo.se,http://www.kungsarabildemo.se/,SBR
Vastmanlands Lan,Begagnade bildelar i Kolbäck AB,Kolbäck,Industrivägen 7,734 51,0220-417 14,info@begbildelarikolback.se,http://www.begbildelarikolback.se/,SBR
Vastmanlands Lan,Allbildelar Försäljning Västerås,Västerås,Bastborregatan 3,721 34,0104974230,info@hedbergsbilskrot.se,http://www.hedbergsbilskrot.se/,SBR
