county,company,city,address,postcode,phone,email,website,source,lat,lon
Norrbottens Lan,RK:s Bilservice & Bildemontering HB,Kalix,Rudträskvägen 6,952 41,0923-163 62,info@rksbilservice.se,http://www.rksbilservice.se/,SBR,66.0,23.0
Norrbottens Lan,Norrbottens Bildemontering AB,Storsund,Storsundsvägen 1,942 04,0929-70 000,info@nbd.se,https://www.nbd.se/,SBR,65.5765944,20.6254692
Norrbottens Lan,Fyrkantens Bildemontering AB,Luleå,Gårdsvägen 18,973 47,0920-15404,info@fyrkantensbildemontering.com,http://www.fyrkantensbildemontering.com/,SBR,65.5831187,22.1459535
Blekinge Lan,Mixi Bilskrot KB,Sölvesborg,Norremarksvägen 66-24,294 92,0456-543 71,info@mixi.se,https://www.mixi.se/,SBR,56.0506535,14.5871906
Blekinge Lan,Gäresta Bildelar AB,Ronneby,Gärestads Bygata 5,372 97,"0457-360 33, 0457-361 40",garesta@telia.com,https://www.garesta.se/,SBR,56.2100417,15.2760355
Kalmar Lan,Nybro Bildemontering AB,Nybro,Joelsgatan 23,382 34,073-076 94 09,info@nybrobildemontering.se,,SBR,56.7444911,15.9075145
Kalmar Lan,Vimmerby Bildemontering AB,Södra Vi,Källenäs 110,598 72,0492-200 28,info@vimmerbybildemontering.se,http://www.vimmerbybildemontering.se/,SBR,57.7414559,15.7960531
Kalmar Lan,Märkesdemo Mönsterås / Atracco AB,Mönsterås,Västra Oknebäcksvägen 7,383 36,0499-49 000,info@mdmonsteras.se,,SBR,57.066667,16.416667
Kalmar Lan,Begagnade Bildelar AB Jan Solstad,Västervik,Målserum,593 95,0490-182 89,info@begagnadebildelar.se,https://www.begagnadebildelar.se/,SBR,57.7594186,16.6385035
Stockholms Lan,Nordiska Auto Motor AB,Södertälje,Viksängsvägen 11,152 57,08-201 231 / 070 017 55 15,info@nordiskaautomotor.se,https://www.nordiskaautomotor.se/,SBR,59.1964289,17.6271663
Stockholms Lan,Södertälje Bil & Alldemo AB,Södertälje,Skarlunda gård,152 97,08-550 96 165,info@skaralund.se,http://www.skarlunda.se/,SBR,59.1964289,17.6271663
Stockholms Lan,Malsta Bildemontering AB,Norrtälje,Malstavägen 268,761 71,0176-226 225,mats@malstabildemo.se,http://www.malstabildemo.com/,SBR,59.766667,18.7
Stockholms Lan,Bromma & Botkyrka Bilskrot AB,Vallentuna,Okvistavägen 11,186 40,08-986 655,info@bilskrotarna.se,http://www.bilskrotarna.se/,SBR,59.583333,18.216667
Stockholms Lan,Bilskrotarna i Stockholm AB,Spånga,Finspångsgatan 1,163 50,08-98 66 55,info@bilskrotarna.se,https://bilskrotarna.se/,SBR,59.3836259,17.8981821
Stockholms Lan,Atracco AB,Huddinge,Gamla Tullingevägen 6,141 44,08-711 26 40,stockholm@atracco.se,http://www.atracco.se/,SBR,59.216667,18.0
Stockholms Lan,Allbildelar Försäljning i Huddinge AB,Huddinge,Hökärrsvägen 125,141 91,010-4974200,allbildelar@allbildelar.se,https://www.allbildelar.se/,SBR,59.216667,18.0
Gavleborgs Lan,Välsta Bildemontering AB,Hudiksvall,Välsta 110,824 94,0650-743 200,info@vbd.nu,http://www.valstabildemontering.com/,SBR,61.7281607,17.105575
Gavleborgs Lan,Häggs Bildemontering AB,Ilsbo,Vattlång 259,829 91,0652-56 50 00,info@haggs.se,https://haggsbildem.se/,SBR,61.8586341,17.0509858
Gavleborgs Lan,Bollnäs Bilåtervinning,Bollnäs,Norrbo Hammarsvägen 4903,821 93,0278-39090,info@bollnasbilatervinning.se,http://www.bollnasbilatervinning.se/,SBR,61.35,16.433333
Jamtlands Lan,Jämtlands Bildemontering AB,Östersund,Trådvägen 11,831 52,063-13 82 00,info@jbdbildelar.se,https://jbdbildelar.se,SBR,63.1793655,14.6357061
Varmlands Lan,Rackstad Bil & Delar AB,Arvika,Rackstad,671 92,0570-332 40,reservdelar@rackstad.com,https://www.rackstad.com/,SBR,59.766667,12.65
Varmlands Lan,Munkfors Bil Aktiebolag,Munkfors,Trollkullevägen 3,684 92,0563-52020,munkfors.bil.ab@telia.com,https://munkforsbil.se/,SBR,59.816667,13.5
Varmlands Lan,Kristinehamns Bildemontering & Bilservice AB,Kristinehamn,Vegagatan 3,681 42,0550-411 138,jasmin.kamber@gmail.com,http://www.kbbab.se/,SBR,59.3113619,14.11176
Varmlands Lan,Frykmalm i Karlstad AB,Karlstad,Hedjämnan 3,654 60,054-856 420,info@frykmalm.se,http://www.frykmalm.se/,SBR,59.3809146,13.5027631
Ostergotlands Lan,Norrköpings Bilskrot AB,Norrköping,Fjärilsgatan 17,603 61,076-184 03 30,info@norrkopingsbilskrot.se,http://info@norrkopingsbilskrot.se,SBR,58.5909124,16.1903511
Ostergotlands Lan,Bildelsåtervinning Ydre AB,Ydre,Basarp Industrivägen 1,57395,0722700227,bildelsatervinning@gmail.com,,SBR,57.866667,15.25
Ostergotlands Lan,James Bildemontering AB,Norrköping,Alholmsgatan 3,602 38,011-166058,info@sbilskrot.se,http://www.sbilskrot.se/,SBR,58.5909124,16.1903511
Ostergotlands Lan,Östgöta Bildemontering AB,Linköping,Rönögatan 14,582 78,013-13 60 88,info@ostgotabildemontering.se,https://www.ostgotabildemontering.se/,SBR,58.4098135,15.6245252
Ostergotlands Lan,Märkesdemo Linköping / Atracco AB Linköping,Linköping,Hägerhällsvägen 61,582 72,013-397 024,info@hards.se,https://www.mdlinkoping.se/,SBR,58.4098135,15.6245252
Ostergotlands Lan,Karstorps Bildemontering AB,Norrköping,Björkebergavägen,605 95,011-495 40 00,info@karstorpsbildemontering.se,http://www.karstorpsbildemontering.se/,SBR,58.5909124,16.1903511
Ostergotlands Lan,Boets Bildemontering AB,Ödeshög,Boet Sågen,599 92,0144-200 40,info@boetsbildemontering.se,http://boetsbildemontering.se/,SBR,58.183333,14.683333
Ostergotlands Lan,Begagnade Bildelar i Linköping AB,Linköping,Ensbovägen 5,582 54,013-100 110,linkoping@begbildelar.com,https://www.begbildelar.com/,SBR,58.4098135,15.6245252
Ostergotlands Lan,Atracco Valla,Valla,Åsen,641 62,0150-660 160,info@vallabildemontering.se,https://lkqatracco.com/se/anlaggningar/lkq-atracco-valla/,SBR,58.4037494,15.5964361
Vasterbottens Lan,Västerbottens Bildemontering AB,Umeå,Spårvägen 24,901 31,090-771 756,info@vasterbottensbildemontering.se,https://www.vasterbottensbildemontering.se/,SBR,63.8256568,20.2630745
Vasterbottens Lan,Lycksele Bildemontering AB,Lycksele,Karossvägen 4,921 45,0950-121 40,forsaljningen@lyxdemo.se,http://www.lyckselebildemontering.se/,SBR,64.6,18.166667
Vasterbottens Lan,Skellefteå Bildemontering AB,Skellefteå,Innervik 17,931 91,0910-861 22,info@skellefteabildemontering.se,https://skellefteabildemontering.se/,SBR,64.7520185,20.959339
Kronobergs Lan,Hovmantorps Bildemontering,Hovmantorp,Magasinsgatan 6,360 51,0478-416 71,,,SBR,56.787754,15.1365001
Kronobergs Lan,Glasrikets Bildemontering AB,Nybro,Järnvägsgatan 51,382 33,0481-171 71,info@glasriketsbildemontering.se,,SBR,56.7444911,15.9075145
Kronobergs Lan,Växjö Bildemontering AB,Växjö,Sänneholmsvägen 6,352 70,0470-709 650,info@vaxjobildemo.se,https://vaxjobildemo.se/,SBR,56.8787183,14.8094385
Kronobergs Lan,JBM Recycling AB,Kronoberg,Kungsgatan 60,341 31,0372-360 200,info@jbmrecycling.se,http://www.jbmrecycling.se/,SBR,56.8007878,14.410897
Kronobergs Lan,Atracco AB,Växjö,Ljungadalsgatan 6,352 46,0470-771 120,vaxjo@atracco.se,http://www.atracco.se/,SBR,56.8787183,14.8094385
Kronobergs Lan,AB Tegnaby Bildemontering,Åryd,Klackevägen 4,360 43,0470-774 378,tbd@vaxjo.mail.telia.com,http://www.tegnabybildemontering.se/,SBR,56.8272591,14.9793618
Uppsala Lan,Upplands Bildemo AB,Uppsala,Möllersvärdsgatan 8,754 50,018-169 200,info@bildemo.com,http://www.bildemo.com/,SBR,59.8586126,17.6387436
Uppsala Lan,MERCA SKROTEN i Sverige AB,Enköping,Magasinsgatan 2,749 35,08-583 583 75,mercaskroten@telia.com,https://www.mercaskroten.se/,SBR,59.6356115,17.077856
Uppsala Lan,Björklinge Bildemontering AB,Björklinge,Närlinge 6,743 71,018-375 080,info@bbbab.se,http://www.bbbab.se/,SBR,60.0291369,17.551431
Uppsala Lan,AAA Bildemontering i Skutskär AB,Skutskär,Myrhagsgatan 10,814 40,026-79 100,info@gavlebildemo.se,http://gavlebildemo.se/,SBR,60.6352228,17.4092868
Gotlands Lan,Bro Bilskrot AB,Visby,Bro Ekes 200,621 73,0498-272 722,brobilskrotab@outlook.com,http://www.brobilskrot.se/,SBR,57.6379361,18.297982
Orebro Lan,Arboga Bilskrot AB,Arboga,Kallstensgården 416,732 49,0589-124 40,info@arbogabilskrot.se,,SBR,59.394187,15.8396643
Orebro Lan,Svensk Bilåtervinning AB,Odensbacken,Industrivägen 8,715 31,019-450 690,info@svenskbilatervinning.se,http://www.svenskbilatervinning.se/,SBR,59.1625391,15.5255268
Orebro Lan,Örebro Bildemontering AB,Örebro,Maskingatan 1,702 86,019-670 12 00,info@mdorebro.se,https://www.orebrobildemo.se/,SBR,59.2747287,15.2151181
Orebro Lan,Ekholms Bildemontering AB,Kumla,Ljungströmsvägen 11,692 75,019-57 70 88,info@ekholmsbildemo.se,https://ekholmsbildemo.se/,SBR,59.1179551,15.1206208
Orebro Lan,Nya Högåsens Bildemontering AB,Karlskoga,Högåsen 275,691 93,0586-72 72 55,nyahogasen@live.com,,SBR,59.3291667,14.5176911
Orebro Lan,Bjuhrs Bil AB,Karlskoga,Silovägen 3,691 42,0586-310 31,info@bjuhrsbilab.se,https://www.bjuhrsbilab.se/,SBR,59.3291667,14.5176911
Vastmanlands Lan,Köpings Bildemontering AB,Köping,Industrivägen 1,731 36,0221-17933,info@kopingsbildemontering.se,http://www.http://www.kopingsbildemontering.se/,SBR,59.5137434,15.9970475
Vastmanlands Lan,Kungsåra Bildemontering AB,Västerås,Karleby 16,725 98,021-471 11 00,info@kungsarabildemo.se,http://www.kungsarabildemo.se/,SBR,59.6110992,16.5463679
Vastmanlands Lan,Begagnade bildelar i Kolbäck AB,Kolbäck,Industrivägen 7,734 51,0220-417 14,info@begbildelarikolback.se,http://www.begbildelarikolback.se/,SBR,59.5624814,16.235983
Vastmanlands Lan,Allbildelar Försäljning Västerås,Västerås,Bastborregatan 3,721 34,0104974230,info@hedbergsbilskrot.se,http://www.hedbergsbilskrot.se/,SBR,59.6110992,16.5463679
